How many minutes should the program run? (integer 1-20, default 2): 
Enter chaos minimum seconds (default 11): 
Enter chaos maximum seconds (default 60): 
Running for 2 minute(s)... Chaos range: 11-60 seconds
Node: b858308c.awspca.cert-manager.io, Updated renewTime: 2025-09-05T23:42:05.460941Z
Node: operator.dapr.io, Updated renewTime: 2025-09-05T23:42:05.460979Z
Node: usvga93564eksp001-gitops-agent-reconciler-lease, Updated renewTime: 2025-09-05T23:42:05.460981Z
Node: ip-10-216-10-186.ec2.internal, Updated renewTime: 2025-09-05T23:42:05.460985Z
Node: ip-10-216-10-194.ec2.internal, Updated renewTime: 2025-09-05T23:42:05.460987Z
Node: ip-10-216-10-24.ec2.internal, Updated renewTime: 2025-09-05T23:42:05.460988Z
Node: ip-10-216-11-190.ec2.internal, Updated renewTime: 2025-09-05T23:42:05.460989Z
Node: ip-10-216-11-218.ec2.internal, Updated renewTime: 2025-09-05T23:42:05.46099Z
Node: ip-10-216-11-53.ec2.internal, Updated renewTime: 2025-09-05T23:42:05.460992Z
Node: ip-10-216-12-57.ec2.internal, Updated renewTime: 2025-09-05T23:42:05.460993Z
Node: ip-10-216-14-123.ec2.internal, Updated renewTime: 2025-09-05T23:42:05.460994Z
Node: ip-10-216-14-204.ec2.internal, Updated renewTime: 2025-09-05T23:42:05.460995Z
Node: ip-10-216-14-71.ec2.internal, Updated renewTime: 2025-09-05T23:42:05.460996Z
Node: ip-10-216-15-125.ec2.internal, Updated renewTime: 2025-09-05T23:42:05.461107Z
Node: ip-10-216-15-149.ec2.internal, Updated renewTime: 2025-09-05T23:42:05.46111Z
Chaos!!!
Node: ip-10-216-15-20.ec2.internal, Updated renewTime: 2025-09-05T23:42:11.461111Z
Node: ip-10-216-15-218.ec2.internal, Updated renewTime: 2025-09-05T23:42:05.461114Z
Node: ip-10-216-4-123.ec2.internal, Updated renewTime: 2025-09-05T23:42:05.461115Z
Node: ip-10-216-6-121.ec2.internal, Updated renewTime: 2025-09-05T23:42:05.461116Z
Node: ip-10-216-6-125.ec2.internal, Updated renewTime: 2025-09-05T23:42:05.461117Z
Node: ip-10-216-6-192.ec2.internal, Updated renewTime: 2025-09-05T23:42:05.461119Z
Node: ip-10-216-7-122.ec2.internal, Updated renewTime: 2025-09-05T23:42:05.46112Z
Node: ip-10-216-7-199.ec2.internal, Updated renewTime: 2025-09-05T23:42:05.461121Z
Node: ip-10-216-7-38.ec2.internal, Updated renewTime: 2025-09-05T23:42:05.461122Z
Node: ip-10-216-9-83.ec2.internal, Updated renewTime: 2025-09-05T23:42:05.461123Z
Node: ip-10-216-9-91.ec2.internal, Updated renewTime: 2025-09-05T23:42:05.461228Z
Node: amazon-network-policy-controller-k8s, Updated renewTime: 2025-09-05T23:42:05.461232Z
Node: apiserver-2bluekvwjl4wpya5wajdkkapxu, Updated renewTime: 2025-09-05T23:42:05.461234Z
Node: apiserver-jwxr5w7cjo532tvjotnxzczwx4, Updated renewTime: 2025-09-05T23:42:05.461235Z
Node: aws-load-balancer-controller-leader, Updated renewTime: 2025-09-05T23:42:05.461237Z
Node: cert-manager-cainjector-leader-election, Updated renewTime: 2025-09-05T23:42:05.461238Z
Node: cert-manager-controller, Updated renewTime: 2025-09-05T23:42:05.461239Z
Node: cloud-controller-manager, Updated renewTime: 2025-09-05T23:42:05.461241Z
Node: cluster-autoscaler, Updated renewTime: 2025-09-05T23:42:05.461242Z
Node: cp-vpc-resource-controller, Updated renewTime: 2025-09-05T23:42:05.461243Z
Node: ebs-csi-aws-com, Updated renewTime: 2025-09-05T23:42:05.461245Z
Node: eks-certificates-controller, Updated renewTime: 2025-09-05T23:42:05.461246Z
